
 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg1 | 73.064   |   MET | aview_typ_25c | 
     |                                      5_reg[29]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg4 | 73.277   |   MET | aview_typ_25c | 
     |                                      _reg[29]/SI f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 73.865   |   MET | aview_typ_25c | 
     |                               instr_de_reg[25]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 73.951   |   MET | aview_typ_25c | 
     |                                instr_de_reg[2]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 74.053   |   MET | aview_typ_25c | 
     |                                instr_de_reg[0]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_regbank_u_cm3_dpu_regfile_reg6 | 75.126   |   MET | aview_typ_25c | 
     |                                       _reg[29]/D f |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 75.781   |   MET | aview_typ_25c | 
     |                               instr_de_reg[16]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 77.961   |   MET | aview_typ_25c | 
     |                               instr_de_reg[17]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 78.851   |   MET | aview_typ_25c | 
     |                               instr_de_reg[18]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 78.989   |   MET | aview_typ_25c | 
     |                             fe_address_reg[29]/D r |          |       |               | 
     | u_cm3_dpu/u_cm3_dpu_fetch_u_cm3_dpu_fetch_ahbintf_ | 79.115   |   MET | aview_typ_25c | 
